"","Longitude","Latitude","Yield","SWATHWIDTH","Swaths","DISTANCE","Heading","WetMass","Moisture"
"1",700.884811171053,5.34427334845559,0,5,7,1.05125285,264.74996948,0,16.29
"2",700.74244149063,5.34991344104578,0,5,7,0.36227647,264.86996948,0,16.29
"3",700.802148472127,5.34869696654181,0,5,7,0.19823447,264.86996948,0,16.29
"4",700.830732770502,5.35013462029994,0,5,7,0.09980928,264.86996948,0,16.29
"5",700.827642564893,5.34792283875936,0,5,7,0.06700088,264.86996948,0,16.29
"6",700.818703083869,5.34759105927,0,5,7,0.06700088,264.86996948,0,16.29
"7",700.26555828102,5.32624728521011,0,5,7,1.31372004,264.93996948,0,16.29
"8",699.474027063452,5.28444444232016,0,5,7,1.90427122,265.08996948,0,16.29
"9",698.539132911749,5.23744387713513,0,5,7,2.23235521,265.15996948,0,16.29
"10",697.595188895716,5.19729989004528,0,5,7,2.26516361,265.34996948,0,16.81
"11",696.589441001181,5.19530949834964,0,5,7,2.3963972,266.22996948,0,16.81
"12",695.632805124144,5.19497792787949,0,5,7,2.26516361,267.06996948,0,16.81
"13",694.74602971427,5.20924414339404,0,5,7,2.10112161,267.66996948,0,16.81
"14",694.241334754552,5.18989094961854,116.6537773,5,7,1.21529484,267.64996948,6637.73274577,16.35
"15",699.132562549356,1.4847658963558,183.51441252,5,7,1.37933684,266.54996948,10443.42748159,16.36
"16",698.978494376133,1.47414929294193,401.66332652,5,7,0.42927734,266.54996948,22857.83315324,16.585
"17",698.060036339698,1.46302157705865,42.69490209,5,7,2.13393001,266.81996948,2442.82186946,16.81
"18",697.654349981645,9.04327441315982,42.69490209,5,7,2.13393001,266.81996948,2442.82186946,16.81
"19",696.476780394615,1.43691433225271,46.65418814,5,7,3.67592476,267.30996948,2669.35548561,16.81
"20",694.891555090644,1.40255601805994,10.0032965,5,7,3.64311636,267.88996948,572.34635184,16.81
"21",694.744833643917,6.71163731320509,10.0032965,5,7,3.64311636,267.88996948,572.34635184,16.81
"22",693.369017050005,5.19442533374091,8.45484978,5,7,3.38064917,268.50996948,483.75077441,16.81
"23",691.934063251702,5.23213662563185,8.37358611,5,7,3.41345757,269.47996948,479.10121071,16.81
"24",690.627793943825,5.23722374847752,9.73942867,5,7,3.11818198,269.45996948,557.24894966,16.81
"25",689.311702232762,5.23766615098988,87.20068775,5,7,3.11818198,269.65996948,4989.25484466,16.81
"26",688.000356199304,5.26697253221367,69.32659509,5,7,3.11818198,270.21996948,3993.45706702,17.37
"27",697.965572110902,1.01416811116203,143.6729701,5,7,3.70873316,264.65996948,8276.07121153,17.37
"28",696.85886641875,0.863401705336187,154.88693716,5,7,2.69167279,263.29996948,8922.03537455,17.37
"29",695.901434960395,0.768339676759074,157.89280284,5,7,2.3635888,263.07996948,9095.18386906,17.37
"30",695.332999178315,0.778544599555238,216.64301685,5,7,1.18248644,263.84996948,12479.40398008,17.37
"31",694.971372415611,0.767293908085218,222.94024164,5,7,0.78878565,264.12996948,12842.14639972,17.37
"32",693.925228518827,0.745399552285961,53.29107754,5,7,2.26516361,265.22996948,3069.75454297,17.37
"33",692.509542745311,0.735843990092302,27.44029134,5,7,3.01975678,266.83996948,1580.65783027,17.37
"34",691.008574593336,0.726327145170909,16.99035666,5,7,3.34784077,267.86996948,978.70463395,17.37
"35",689.386661330901,0.700285026349817,10.321242,5,7,3.77434996,268.32996948,595.91028282,17.56
"36",687.624566446436,4.50788509620266,1.10405423,5,7,4.03681715,268.94996948,63.74400152,17.56
"37",686.119200350698,4.52679609805657,0.85517796,5,7,3.57749956,269.65996948,49.37480776,17.56
"38",684.319934720192,4.58551945052412,0.48847971,5,7,4.29928434,270.72996948,28.20300891,17.56
"39",682.346073084417,4.62500005465142,68.16769235,5,7,4.69298513,271.25996948,3935.7500615,17.56
"40",680.456529599175,4.65972525020215,79.41426253,5,7,4.49613474,271.43996948,4585.08536668,17.56
"41",678.482116122149,4.69743630950028,113.41591794,5,7,4.69298513,271.44996948,6548.21500701,17.56
"42",676.375707188749,4.71900124081232,122.3476178,5,7,5.02106912,271.29996948,7063.89827378,17.56
"43",674.07936166337,4.74830744523414,134.65386036,5,7,5.4803867,271.08996948,7774.41513638,17.56
"44",671.689758476634,4.75604859733281,130.86385918,5,7,5.6772371,270.58996948,7555.59450677,17.56
"45",669.314392267822,4.74874959393746,134.57132637,5,7,5.6444287,270.20996948,7769.64992981,17.56
"46",666.915077064344,4.75361551474116,100.69111381,5,7,5.7100455,270.15996948,5813.53194931,17.56
"47",664.465877304512,4.76754987297348,79.25569443,5,7,5.84127909,270.42996948,4575.93023187,17.56
"48",662.034446162631,4.78447016253086,75.74032571,5,7,5.77566229,270.74996948,4372.96586301,17.56
"49",659.629171320821,4.85049232980499,100.11587469,5,7,5.7428539,271.41996948,5780.3197731,17.56
"50",657.192994501335,4.86542184027399,90.92883981,5,7,5.80847069,270.99996948,5285.154415,18.11
"51",654.74953366341,4.89373277144802,101.9275316,5,7,5.80847069,270.99996948,5924.44316593,18.11
"52",652.322517061762,4.90667174563665,121.10073365,5,7,5.77566229,270.95996948,7038.86773894,18.11
"53",649.873869100835,4.89450677664778,128.22591195,5,7,5.84127909,270.50996948,7453.01211419,18.11
"54",647.453805449261,4.90987873363317,127.29880269,5,7,5.77566229,270.48996948,7399.1247492,18.11
"55",645.015973168758,4.91927882875425,127.30038936,5,7,5.80847069,270.37996948,7399.21697274,18.11
"56",642.504417690742,4.93188603445454,119.48700216,5,7,5.97251269,270.29996948,6945.07109383,18.11
"57",639.879187215553,4.96804890576541,122.44571217,5,7,6.23497988,270.58996948,7117.04336698,18.11
"58",637.330549416083,5.0020000073225,110.47898137,5,7,6.07093789,270.93996948,6421.48824672,18.11
"59",634.915121066649,5.03473456679798,120.40944184,5,7,5.7428539,271.08996948,6998.68704389,18.11
"60",632.466804208591,5.07731156968762,106.10659383,5,7,5.84127909,271.10996948,6167.34727943,18.11
"61",629.959332178918,5.09312577517123,121.745016,5,7,5.97251269,270.62996948,7076.31605245,18.11
"62",627.432325727748,5.107502403118,129.50923631,5,7,6.00532109,270.56996948,7527.60415119,18.11
"63",624.867905853823,5.13769337956151,129.40061623,5,7,6.10374628,270.59996948,7521.29070981,18.11
"64",622.281964981968,5.17297151185373,141.19444511,5,7,6.16936308,270.76996948,8115.62045544,17.19
"65",619.6882986353,5.19497884646391,127.65104951,5,7,6.16936308,270.76996948,7337.16873718,17.19
"66",617.066379072735,5.24795133951932,130.05751297,5,7,6.23497988,271.03996948,7475.48823045,17.19
"67",614.450750273329,5.30390973011098,110.85197736,5,7,6.23497988,271.25996948,6371.58617863,17.19
"68",611.847702978282,5.34383257173549,109.102889,5,7,6.20217148,271.20996948,6271.05150637,17.19
"69",609.241896561673,5.38939549416339,90.1555575,5,7,6.20217148,271.19996948,5181.9905947,17.19
"70",606.62781283684,5.41306159499401,89.68078426,5,7,6.23497988,270.86996948,5154.70142362,17.19
"71",604.022447875039,5.44214663116268,88.80799307,5,7,6.20217148,270.71996948,5104.53484646,17.19
"72",601.402404489917,5.45851382839284,86.2860879,5,7,6.23497988,270.49996948,4959.57995695,17.19
"73",598.783795860366,5.48925778636768,83.42764092,5,7,6.23497988,270.64996948,4795.28120729,17.19
"74",596.164966503411,5.53338313204453,102.98922252,5,7,6.23497988,270.99996948,5919.64818644,17.19
"75",593.526381963051,5.56888242158888,96.05250565,5,7,6.26778828,271.06996948,5520.9373079,17.19
"76",590.885810891741,5.61920076438017,105.09868575,5,7,6.30059668,271.37996948,6040.89660381,17.19
"77",588.242922152109,5.6663119525882,105.09865906,5,7,6.30059668,271.40996948,6040.89506931,17.19
"78",585.592307915706,5.69904643505661,101.65827431,5,7,6.30059668,271.24996948,5812.2648091,16.75
"79",582.956151375218,5.71541365428878,102.19038634,5,7,6.26778828,271.04996948,5842.68806822,16.75
"80",580.302778047052,5.73731036587596,83.08607562,5,7,6.30059668,270.90996948,4750.40794009,16.75
"81",577.705138571044,5.74870104128143,84.85346178,5,7,6.16936308,270.69996948,4851.45742615,16.75
"82",575.083881203238,5.79315812244359,89.79728449,5,7,6.23497988,270.90996948,5134.11820284,16.75
"83",572.583251748175,5.79824515649539,92.09328967,5,7,5.93970429,270.59996948,5265.39123664,16.75
"84",570.484678674464,5.79835572372755,73.85416573,5,7,4.98826072,270.49996948,4222.57776256,16.75
"85",568.726909896235,5.8101888244332,105.95641186,5,7,4.20085914,270.53996948,6058.00883549,16.75
"86",567.669401223989,5.80156274551289,131.35278565,5,7,2.5276308,270.17996948,7510.03475909,16.75
"87",567.105330374663,5.80034622700488,275.67426499,5,7,1.34652844,270.03996948,15761.54858032,16.75
"88",565.750611267571,5.84845288726468,94.07746565,5,7,3.24941558,270.76996948,5378.83558085,16.75
"89",564.403728064082,5.94267568407652,135.94124016,5,7,3.21660718,272.58996948,7772.37752297,16.75
"90",563.069757392539,6.00836604985927,134.17671202,5,7,3.18379878,273.15996948,7671.49144286,16.75
"91",561.690206332547,6.05138538925521,137.1469183,5,7,3.28222397,273.05996948,7841.31161306,16.75
"92",560.139370201868,6.1040260140274,111.10930844,5,7,3.70873316,272.91996948,6352.62331359,16.75
"93",558.553217564259,6.14295353761429,102.94743304,5,7,3.77434996,272.79996948,5885.97186297,16.75
"94",556.7468885643,6.18188095040528,128.53373836,5,7,4.29928434,272.27996948,7386.12034387,17.17
"95",554.669174259256,6.18088542256266,131.18651341,5,7,4.95545232,271.38996948,7538.56059825,17.17
"96",552.58064433025,6.21804356712133,151.87678647,5,7,4.98826072,271.48996948,8727.5157216,17.17
"97",550.513304271212,6.24270497498856,157.52244653,5,7,4.92264392,271.17996948,9051.94046144,17.17
"98",548.381070151589,6.26515463431824,162.29865344,5,7,5.08668592,271.04996948,9326.4025563,17.17
"99",545.976788541533,6.25752381764471,141.94662144,5,7,5.7100455,270.50996948,8156.88426831,17.17
"100",543.587075012269,6.26670276730044,129.42238509,5,7,5.6772371,270.53996948,7437.18593815,17.17
"101",541.045279774861,6.29158543142891,112.46125327,5,7,6.03812949,270.54996948,6462.52385768,17.17
"102",538.461215114953,6.34444742325823,92.55186415,5,7,6.16936308,271.16996948,5318.44179872,17.17
"103",535.792280452284,6.37154184613947,75.77716092,5,7,6.36621348,271.04996948,4354.49273516,17.17
"104",533.085601260854,6.4109117502367,74.91748117,5,7,6.43183027,271.05996948,4305.09171276,17.17
"105",530.373734979358,6.44054978993872,62.81811609,5,7,6.46463867,271.12996948,3609.8083754,17.17
"106",527.618164519791,6.4952917060264,55.76482894,5,7,6.56306387,271.33996948,3204.49512122,17.17
"107",524.811164354014,6.50590816564133,57.3344764,5,7,6.69429747,270.76996948,3294.69404654,17.17
"108",521.96299841687,6.52603547619827,56.50240436,5,7,6.79272266,270.76996948,3265.80483109,17.65
