"","Longitude","Latitude","AppliedRate","ControlRate","Variety","DISTANCE","Heading"
"159",993.306406550549,631.237655858999,28408.9320852467,27999.9056285633,"0996 conv",7.00684194,267.14174805
"160",990.331333126079,630.940066550064,28363.06771246,27999.9056285633,"0996 conv",7.20369234,269.41174805
"161",987.315819929399,631.051206788138,28452.0985537533,27999.9056285633,"0996 conv",7.33492593,270.19174805
"162",984.342956290091,630.881566614915,28274.03687117,27999.9056285633,"0996 conv",7.17088394,271.93174805
"163",981.426111218706,630.94924589915,28217.3808812567,27999.9056285633,"0996 conv",6.94122515,271.84174805
"164",978.433469490639,631.016261651284,28135.0948006667,27999.9056285633,"0996 conv",7.13807554,271.71174805
"165",975.44999859804,631.097875094711,28152.6311784967,27999.9056285633,"0996 conv",7.13807554,272.35174805
"166",972.481112407469,631.136912359771,28210.6361205533,27999.9056285633,"0996 conv",7.07245874,272.42174805
"167",969.585260511805,631.288305964005,28224.12564196,27999.9056285633,"0996 conv",6.94122515,271.87174805
"168",966.657255820917,631.329444245505,28251.1046847733,27999.9056285633,"0996 conv",6.97403355,271.39174805
"169",963.825046452652,631.367043434543,28271.3389668867,27666.57955457,"0996 conv",6.74437475,269.72174805
"170",960.91880828441,631.306109462425,28765.05545042,27666.57955457,"0996 conv",6.94122515,267.86174805
"171",957.983400617902,631.329995892797,28426.46846308,27666.57955457,"0996 conv",7.03965034,266.38174805
"172",955.149313233093,631.304892893793,28225.4745941,27666.57955457,"0996 conv",6.77718315,267.43174805
"173",952.304397779147,631.075977898904,28110.81366213,26666.6013325933,"0996 conv",6.84279995,268.63174805
"174",949.346118790051,631.045566661165,27921.9603624167,26666.6013325933,"0996 conv",7.07245874,269.46174805
"175",946.465956743363,631.003875509717,27448.4781609967,26666.6013325933,"0996 conv",6.84279995,270.19174805
"176",943.614080240681,631.023007087552,27202.96887137,26666.6013325933,"0996 conv",6.77718315,270.22174805
"177",940.706074438697,631.0336234503,27343.2598940133,25333.29703663,"0996 conv",6.94122515,270.23174805
"178",937.827680173348,631.04943744385,26381.4570176267,25333.29703663,"0996 conv",6.84279995,270.38174805
"179",934.988952287746,631.046894365768,26412.4829168633,25333.29703663,"0996 conv",7.03965034,272.05174805
"180",932.076526857343,631.086595140142,26107.6197330433,23999.99274066,"0996 conv",6.94122515,272.07174805
"181",929.086647263377,631.167765784876,25688.0956172567,23999.99274066,"0996 conv",7.13807554,270.93174805
"182",926.119860245923,631.238541247371,24992.0363126033,23999.99274066,"0996 conv",7.07245874,269.82174805
"183",923.229974862521,631.230025905776,24901.65651917,23999.99274066,"0996 conv",6.87560835,269.29174805
"184",920.11071075487,631.184353412426,24571.1632446733,23666.6666666667,"0996 conv",7.43335113,269.22174805
"185",916.852338850206,631.194306326365,23122.3886454533,23666.6666666667,"0996 conv",7.76143512,269.51174805
"186",913.619821825732,631.134036529892,22654.3022525967,23666.6666666667,"0996 conv",7.69581832,270.19174805
"187",910.414816968504,631.125300259233,23052.24313413,23333.3405926767,"0996 conv",7.63020152,270.63174805
"188",907.208817647032,631.139013077618,23473.11620206,23000.0145186833,"0996 conv",7.63020152,270.70174805
"189",903.988454521026,631.199946571989,23261.3307159567,23000.0145186833,"0996 conv",7.66300992,270.70174805
"190",900.756710867031,631.23809916137,23556.75123479,23000.0145186833,"0996 conv",7.69581832,270.84174805
"191",897.461103568318,631.271938853776,23331.4762272767,23000.0145186833,"0996 conv",7.82705192,271.00174805
"192",894.20394699085,631.299032623524,23363.8510786567,23000.0145186833,"0996 conv",7.76143512,270.73174805
"193",890.954414272367,631.318938229816,23365.2000307967,23000.0145186833,"0996 conv",7.72862672,270.45174805
"194",887.726095771555,631.328448642082,23317.98670587,23666.6666666667,"0996 conv",7.69581832,270.13174805
"195",884.497335334438,631.3659376365,23265.37757238,23666.6666666667,"0996 conv",7.69581832,270.01174805
"196",881.234101827363,631.357975422585,23408.3664993,23666.6666666667,"0996 conv",7.76143512,270.22174805
"197",877.999153949084,631.368923598138,23331.47622728,23666.6666666667,"0996 conv",7.69581832,270.43174805
"198",874.799563074609,631.401546774559,23362.5021265167,23666.6666666667,"0996 conv",7.63020152,270.36174805
"199",871.625495597478,631.412273779031,23456.92877637,23666.6666666667,"0996 conv",7.56458473,270.58174805
"200",868.38811693134,631.409840930929,23520.3295269867,23666.6666666667,"0996 conv",7.69581832,270.85174805
"201",865.15151162312,631.461595610537,23583.7302776067,23999.99274066,"0996 conv",7.69581832,270.51174805
"202",861.937335993231,631.493665898152,23362.50212652,23999.99274066,"0996 conv",7.63020152,270.62174805
"203",858.742385737313,631.524409115278,23788.77100301,23999.99274066,"0996 conv",7.59739313,270.63174805
"204",855.488875375392,631.529274922274,23779.32833802,23999.99274066,"0996 conv",7.72862672,270.53174805
"205",852.285306786821,631.553714558903,23915.5725042433,23999.99274066,"0996 conv",7.63020152,270.09174805
