"Sample","Easting","Northing","AppliedRate","ControlRate","Yield"
"60",26.8460299277836,180.12443085746,25190.3322773033,24667,178.50187073562
"61",26.7881980757827,179.182897895744,25804.1055013667,24000,177.586935443164
"63",27.0195954882314,175.722917718406,22640.8127311833,24000,170.259271720528
"64",27.1688284227336,173.962497825502,22640.8127311833,24000,163.090661665044
"65",27.1106933506144,172.207498274451,24300.02386437,24000,154.923363242244
"66",26.9609605943422,170.488138073754,24300.02386437,24000,147.292325044491
"67",26.7912136874204,168.752059583698,23954.6921163267,24000,140.222074116696
"68",26.7352225022177,166.999722541465,24023.4886755067,24000,133.99366996949
"69",26.6026097045351,165.426301474905,24201.5503580933,24000,128.182362540201
"70",26.6510301490464,163.587361835438,24120.6132296467,24000,122.610977744738
"71",26.7548815050578,161.870970922319,24246.06577874,24000,117.675820260359
"72",26.770182843171,160.201085706567,24324.3050029033,24000,112.586467907365
"73",26.6519193401824,158.408079610173,24327.0029071867,24000,106.682033560834
"74",26.933839393343,156.707757560924,24254.1594915867,24000,102.851357406365
"75",26.7023871812986,155.145079211546,24254.1594915867,23000,97.1238711568647
"76",26.8628328461019,153.323459246899,23756.3961516267,23000,92.2211553724445
"77",27.0242860793874,151.62996875888,23583.7302776067,23000,87.7970871560009
"78",27.4328665132116,149.927169550486,23628.2456982567,23000,84.3758910976164
"79",27.7059673594567,148.179889334409,23558.1001869333,23000,80.5812767055319
"80",27.9065483099137,146.488553817635,23656.57369321,23000,77.0131033037313
"81",28.0649252430636,144.774032518315,23630.9436025333,23000,73.1238429450536
"82",28.225541592986,143.048631661231,23528.4232398333,23000,68.5211419075693
"83",28.3353260812016,140.836762018524,23331.4762272733,23000,62.9277469013886
"84",28.3758874890281,138.543278228446,23061.6857991133,23000,58.1236204354635
"85",28.4608631592614,135.943315104615,22677.2344389867,23000,55.3958444551407
"86",28.4186690840112,133.37245487553,22638.1148269033,23000,53.2792941254945
"87",28.3713122550662,131.089460585016,22646.20853975,23000,53.263041406873
"88",28.0881353912301,128.218109356474,22605.7399755267,23000,53.0318386048104
"89",28.08104009976,125.610753657554,22538.2923684867,23000,53.3127195775245
"90",27.7849190705508,122.959651081142,22501.8706606867,23000,53.8148642088525
"91",27.8147122986969,120.310411905216,22478.9384742933,23000,54.752281013102
"92",27.9845536393881,117.710571946866,22581.4588369933,23000,53.9288744515541
"93",28.0029528602906,115.060812129469,22617.8805447933,23000,53.1745584284991
"94",27.8020765042603,112.43657669014,22911.95211149,23000,51.4699777102799
"95",27.882605065951,109.77951329306,23072.4774162433,23000,51.1777543609164
"96",27.837389110079,107.30747336829,23090.0137940733,23000,51.5161554652385
"97",27.9377806460634,104.436002479272,23090.0137940733,23000,45.285476942662
"98",27.5862272859615,101.802608903608,23041.4515170033,23000,47.0903963177332
"99",27.5950482560779,99.137620734684,23200.62786962,24000,47.4245660169107
"100",27.7390726173139,96.4693069634215,23200.62786962,24000,54.25766326
"101",27.752324885516,93.8152195449366,23760.44300805,24000,NA
"102",27.6784900091877,91.4073893283034,23792.81785943,24000,NA
"103",27.6504054364388,88.4887761170471,23784.7241465867,24000,NA
"104",27.7124875209148,85.8253113410438,23798.2136679933,24000,NA
"105",27.9229708168106,83.2114079792958,23819.7969022467,24000,NA
"106",28.1203671848216,80.7434450080179,23981.6711591433,24000,NA
"107",28.2404081443229,78.2328361561434,23981.6711591433,24000,NA
"108",28.3666625471496,75.7006120589762,24054.5145747467,24000,NA
"109",28.539968462833,73.1153600936368,24045.07190976,24000,39.9973057258116
"110",28.6302589825679,70.5485473590238,24105.7747560967,24000,33.2750521122894
"111",28.7283047908482,68.1686364514276,24053.1656226033,24000,33.2757686632403
"112",28.8394854472859,65.4283110749559,24063.9572397333,24000,33.2763437014011
