"Sample","Easting","Northing","AppliedRate","ControlRate","Yield"
"3",64.2365483138927,6.70522033326599,21247.34516974,24500,171.951817439861
"4",66.0926894225453,6.77254426507249,23497.3973405967,24500,172.083253260972
"5",67.9610436793554,6.99644686334709,23802.2605244167,24500,174.627758955646
"6",69.7342097833891,7.07670980336716,24788.34453934,24500,175.514041868013
"7",71.5606591463596,7.18075612853257,24808.5788214533,24500,176.949528061904
"8",73.3562429551472,7.21545298796914,24507.76249405,24500,180.857559848873
"9",75.1772988578909,8.09282894041137,24603.5380960533,24000,182.755988441849
"10",76.9047080407875,8.86555153339052,23970.8795420167,24000,184.631221853529
"11",78.7045129473263,9.00887524020896,23956.0410684667,24000,187.47305177139
"12",80.5594433691337,8.79049163302387,24244.7168265967,24000,189.496712747162
"13",82.5515801497758,8.75933724262249,23908.82774354,24000,191.3587550276
"14",84.5129312526525,8.63283574584111,23732.1150130933,24000,193.172873528243
"15",86.6509212754604,8.10748860363024,23864.31232289,24000,194.62844109931
"16",89.1614472137966,7.67138547795166,23296.4034716133,24000,196.332377054042
"17",91.552432958468,7.33355093074839,23173.6488268033,24000,196.479720376714
"18",93.9570430447314,7.43021151480152,23319.33565801,24000,197.174773839225
"19",96.3399179077298,7.52949715966942,23460.9756327967,24667,197.712211203077
"20",98.7372802387268,7.5507002015442,23798.2136679933,24667,198.106547967394
"21",101.123038478858,7.47236150283817,24055.8635268867,24667,198.993663085486
"22",103.470842862819,7.36297793431061,24258.2063480067,24667,200.091000806506
"23",105.848951321346,7.32493449772512,24263.60215657,24667,199.637256862465
"24",108.239682813405,7.4463831233883,24478.0855469567,26000,200.428501686551
"25",110.635228695383,7.43222704330299,24828.8131035667,26000,199.73835595952
"26",113.087584575393,7.47245321592195,25214.6134158333,26000,199.592267433809
"27",115.498962422858,7.31067581355367,25329.2743478,26000,200.088766662041
"28",117.918388394195,7.17194637864573,26068.5001209567,25833,201.296469259261
"29",120.536081691074,7.10212434478069,25876.9489169667,26000,201.1884040466
"30",123.356857366831,7.07945275417492,25167.4000909067,26000,201.905081783087
"31",126.482677197963,7.01962297060092,24805.88091717,26000,203.259164300946
"32",129.57363612959,7.01037196931729,24552.2779147033,26000,204.448693417133
"33",132.660647615086,6.89756334241771,24878.7243327767,26000,205.097907545918
"34",135.713738031117,6.85222081890955,25105.34829243,26000,205.661723900612
"35",138.813104005095,6.8315784648526,25252.3840757767,26000,205.724735421655
"36",141.903189750875,6.8184565223739,25354.90443848,26000,206.457086304275
"37",144.973473234076,6.76146307798848,25458.7737533167,26000,207.293970090205
"38",148.042600300286,6.6640663627561,25541.0598339067,26000,207.747124582307
"39",151.132484745888,6.62982116088835,25570.7367810067,26000,208.73236109151
"40",154.21554058745,6.6409570426491,25724.5173250567,26000,209.380141039927
"41",157.33942727283,6.53869373172831,25879.64682125,26000,211.006239092044
"42",160.452624892248,6.62337990463139,26108.9686851833,26000,211.595364461387
"43",163.53461527211,6.61921685826637,26072.5469773833,26000,212.652002856594
"44",166.617062348095,6.59300633309356,26077.9427859433,26000,214.280060240219
"45",169.702068524601,6.5061126726647,26055.01059955,26000,214.195813277703
"46",172.791022824769,6.44624330116147,26088.7344030733,26000,215.165578306444
"47",175.880974592092,6.40676202045664,26064.4532645367,26000,215.587134683357
"48",178.862753797012,6.4533285236866,26049.61479099,26000,216.40422351237
"49",181.646793721772,6.39931993687311,26297.8219848933,26000,216.619640632941
"50",184.558620420815,6.31729280612659,26378.7591133467,26000,217.385277181617
"51",187.50091030737,6.31987522151643,26400.3423475933,26000,218.095647474632
"52",190.456949596298,6.20374803547517,26320.7541712867,26000,218.936124949627
"53",193.357940489202,6.06052923274027,26334.2436927,26000,219.411425379097
"54",196.277423484804,6.13068581839616,26380.1080654833,26000,219.89612788
"55",199.164541432726,6.11247710832242,26376.0612090667,26000,220.276137518485
"56",202.070852885491,6.10035110872075,26373.36330478,26000,221.32210476812
"57",205.048119508823,6.05397369953713,26431.3682468333,26000,221.705605141567
"58",207.99990064443,6.0366499777,26390.8996826133,26000,222.115451324104
"59",210.897930630047,6.00535237611801,26139.9945844233,26000,223.294111060592
"60",213.81692542594,5.96494682334675,26022.6357481733,26000,224.037313766541
"61",216.752532758556,5.79920000422009,26096.8281159167,26000,224.537559611212
"62",219.674449036383,5.72274415237545,26146.73934513,26000,224.871449266418
"63",222.627060998086,5.68916183301685,26137.2966801367,26000,225.341715820963
"64",225.528775568511,5.7492547623812,26095.4791637733,26000,225.5502550803
"65",228.394487299944,5.77200381583064,26181.8121007867,26000,225.915584432255
"66",231.303001804844,5.75032751197007,26118.41135017,26000,226.075076057669
"67",234.241272521169,5.64072512308884,26121.10925445,26000,225.748628731555
"68",237.146499790758,5.62395376601781,26130.55191944,26000,225.683917558731
"69",240.099067429126,5.58941736734943,26098.17706806,26000,225.521467587424
"70",243.018206976521,5.66643745955314,26138.64563228,26000,225.782913926666
"71",245.93357595394,5.67978941277257,26083.33859451,26000,226.190275552985
"72",248.867474216661,5.71662883097342,26103.5728766233,26000,226.411811345113
"73",251.763871842288,5.79250790601946,26195.3016222,26000,226.610718394166
"74",254.683424744263,5.762495257271,26189.9058136333,26000,227.054051370301
"75",257.607916637408,5.61475974762153,26133.2498237167,26000,227.261210883909
"76",260.538109910997,5.48244143405419,26146.7393451267,26000,227.921850881297
"77",263.4348361717,5.38592652619424,26096.8281159167,26000,227.455714034242
"78",266.363878243085,5.34589233853056,26107.6197330433,26000,226.933974235114
"79",269.315760062502,5.32945360650162,26192.6037179133,26000,226.563039721
"80",272.257935364901,5.28079342357746,26183.16105293,26000,226.227501659022
"81",275.162697511585,5.24020629202295,26127.8540151567,26000,225.160539297067
"82",278.059719071937,5.24787638023401,26076.5938338067,26000,223.528206632878
"83",281.000680381395,5.20187034794477,26077.9427859467,26000,222.994993380451
"84",283.932922997163,5.16825035640468,26045.5679345667,26000,220.734287735629
"85",286.881851073545,5.07870258620179,26076.5938338067,26000,219.239475679926
"86",289.786392494383,5.04375552680921,26084.68754665,26000,216.631156854705
"87",292.691921744822,5.03362041658417,26080.6406902267,26000,214.907031985864
"88",295.595800980277,4.98650849651329,26135.947728,26000,213.102726779473
"89",298.532884423757,4.97714776955951,26088.7344030733,26000,210.741999204179
"90",301.481350429258,4.91753921320355,26154.83305797,26000,207.995547069851
"91",304.406139240597,4.93619854832252,26175.06734008,26000,205.636317721278
"92",307.357974798189,4.98000391921422,26144.0414408433,26000,202.026227697462
"93",310.290391542352,4.93616840397672,26141.3435365633,26000,197.671695282222
"94",313.231627616962,4.87209518413893,26212.8380000233,26000,194.925928350889
"95",316.181572675564,4.81764347889967,26135.9477280033,26000,191.334426764074
"96",319.086003742104,4.78911061641646,26144.0414408433,26000,188.166224785224
"97",321.980340824347,4.70475956185638,26184.51000507,26000,183.295004716791
"98",324.894594216947,4.65775822789199,26117.0623980267,26000,180.034491127273
"99",327.826285014178,4.62380646860299,26067.15116882,26000,176.929430780076
"100",330.768876927065,4.61898017040912,26037.47422172,26000,173.182165093435
"101",333.691924804202,4.59181500801804,26081.98964237,26000,170.055712130229
"102",336.614896907744,4.56140211886157,26114.36449375,26000,166.714098392985
"103",339.547867777498,4.54761853070184,26056.3595516933,25333,164.060107322592
"104",342.481765855153,4.53235641667857,25547.80459461,24000,162.210820884254
"105",345.392676854898,4.46216036096143,25495.19546112,24000,160.068813782537
"106",348.320877087185,4.30794827158968,25114.7909574167,24000,158.762283000447
"107",351.220341786884,4.26227401726458,24925.9376577033,24000,157.016962195746
"108",354.033300538105,5.90347247091297,24728.9906451467,24000,158.405041222978
"109",356.561698535506,7.9846315277673,24688.52208092,24000,159.71611780859
"110",359.186885702061,9.14271306941238,24549.58001042,24000,160.149664100131
"111",362.149659132891,9.14852905090717,24457.8512648467,24000,159.056111148133
"112",365.334184798164,8.10628466068112,24447.0596477167,24000,156.626729377862
"113",368.337706321595,6.7283325859286,24363.42461499,24000,153.293153887143
"114",371.181377729451,5.23216288838195,24216.38883164,24000,152.403419675182
"115",373.831614032333,3.9864127561293,24132.7537989133,24000,150.482160944351
"116",376.584928554421,3.23925262810656,24103.0768518133,24000,151.490440010923
"117",379.289834013645,2.34329481674741,24119.2642775,24000,151.6755495425
"118",382.160735035034,2.08612498618503,24077.4467611367,24000,153.847863269918
"119",385.204412547714,2.50463866135556,24088.2383782633,24000,156.532269876825
"120",388.169782075036,2.92858472528791,24111.17056466,24000,159.041855852283
"121",391.154908368472,3.28179712345214,24115.21742108,24000,162.379173721008
"122",394.095845942416,3.44902164650954,24026.18657979,24000,165.206116752558
"123",397.064812403784,3.59834807622402,24147.59227246,24000,169.014696307364
"124",399.991524345348,3.86866521131361,24127.35799035,24000,172.282307471515
"125",402.861162301476,3.94365859877295,24024.8376276467,24000,173.470568922631
"126",405.733226813145,3.78438183498238,24045.07190976,24000,176.339491833007
"127",408.628281090889,3.53468387874536,24022.13972337,24000,177.301380376794
"128",411.545503859904,3.37871099088793,24128.7069424867,24000,178.561858390076
"129",414.406303376724,3.3380505886613,24076.0978089967,24000,180.895360806666
"130",417.270864835989,3.38940559689251,24100.3789475333,24000,181.327935946515
"131",420.188802421308,3.41506895763498,24162.43074601,24000,180.682696095227
"132",423.124089958108,3.44338896231329,24182.6650281233,24000,180.780991389772
"133",426.05862786265,3.50278681942016,24096.3320911133,24000,181.242463718421
"134",428.976180002301,3.4354656543683,24117.9153253667,24000,181.251103269242
"135",431.84393447313,3.33857784518796,24159.73284173,24000,182.923543858682
"136",434.761207639727,3.18222809800299,24165.1286502933,24000,182.914787117923
"137",437.669673654168,3.05604113352709,24143.54541604,24000,184.853568968797
"138",440.612573778988,3.02732475372508,24086.8894261233,24000,184.058677360384
"139",443.502974497108,3.02839570229106,24107.1237082367,24000,184.407269253023
"140",446.417702849348,3.00144978064948,24089.5873304067,24000,184.986549829375
"141",449.328556833045,3.08923392510649,24066.6551440133,24000,186.068263689847
"142",452.225041739302,3.05683043102813,24121.9621817867,24000,186.144094713359
"143",455.173417799534,2.97601924847851,24165.1286502933,24000,186.763585045984
"144",458.117975928547,3.02479833034568,24159.73284173,24000,186.617500651172
"145",461.022100673025,2.9567445819411,24184.01398026,24000,186.814072197404
"146",463.906239939469,2.89145583430224,24155.6859853033,24000,187.148255120542
"147",466.838708624477,2.85613713084783,24086.8894261233,24000,187.757732643798
"148",469.787597597016,2.75719035959713,24147.59227246,24000,188.016810967364
"149",472.683655146403,2.74672291114211,24089.5873304067,24000,187.046697314108
"150",475.524516940089,2.71221822839273,24068.0040961533,24000,186.539204233178
"151",478.399908322585,2.62127351897809,24152.9880810233,24000,187.798476179615
"152",481.335364634977,2.6493707099352,24076.0978089967,24000,188.693265759302
"153",484.244091760456,2.75503448567881,24038.32714906,24000,188.89713537374
"154",487.144999312443,2.60922520224034,24057.2124790267,24000,189.373855189847
"155",490.03286083406,2.59378205398395,24000.5564891167,24000,190.383331149615
"156",492.949438795088,2.63382604040662,24055.8635268833,24000,191.071765544538
"157",495.909492967927,2.60540375617203,24076.0978089967,24000,192.624639227846
"158",498.821980556889,2.56647546650522,24026.18657979,24000,192.568813479084
"159",501.784786626795,2.57562541248811,24035.6292447733,24000,193.300114580227
"160",504.706441559899,2.5071979314009,24100.3789475333,24000,193.259527810231
"161",507.628499047876,2.42373112565225,24034.2802926333,24000,194.338214281769
"162",510.551164790147,2.34218544007323,24109.82161252,24000,192.779044538244
"163",513.448142301626,2.35586824088545,24121.9621817867,24000,191.946325746691
"164",516.356889817313,2.37740381979423,24119.2642775033,24000,191.544944001503
"165",519.259491447271,2.36649598509347,23730.76606095,25333,191.591964425488
"166",522.19135624429,2.31237563585094,24538.78839329,25333,192.191804253283
"167",525.133200480661,2.29136285963033,24660.1940859633,25333,191.750365436716
"168",528.046514515298,2.24232984296341,24685.82417664,26000,192.046463855481
"169",530.968020153371,2.14702994664273,24971.80203049,26000,193.078583409259
"170",533.872561577345,2.11230406732099,25611.20534523,26000,193.790986971407
"171",536.840049830956,2.03492064546353,25608.5074409467,26000,195.278043764412
"172",539.772513163161,1.986371051789,25635.4864837633,26000,195.545955316911
"173",542.712927947285,1.92318376156019,25733.95999004,26000,196.707567747007
"174",545.65598087555,1.91360158265339,25817.59502277,26000,197.218476832554
