"","Longitude","Latitude","Yield","SWATHWIDTH","Swaths","DISTANCE","Heading","WetMass","Moisture"
"1",112.997592065375,631.859534335845,54.09409753,5,7,6.08877122,89.86842224,3246.17747573,0
"2",115.618220163635,631.867164845677,56.16884508,5,7,6.22000482,89.73842224,3370.68271914,0
"3",118.230119530134,631.885301107275,55.57050852,5,7,6.22000482,89.39842224,3334.7766449,0
"4",120.801799912448,631.885743477695,63.91146482,5,7,6.12157962,89.73842224,3835.3159964,0
"5",123.397898542702,631.816516044443,61.42913946,5,7,6.18719642,90.95842224,3686.35207856,10.71
"6",125.98051765494,631.781681109211,66.29198106,5,7,6.15438802,90.94842224,3978.1703657,10.71
"7",128.573412375337,631.72893107559,65.08254925,5,7,6.15438802,91.16842224,3905.59257111,10.71
"8",131.160120166396,631.7721705192,62.66368563,5,7,6.15438802,89.61842224,3760.43698194,10.71
"9",133.731248105303,631.763102399401,61.09966435,5,7,6.12157962,89.90842224,3666.58033425,10.71
"10",136.380824860827,631.767304698379,60.68926768,5,7,6.28562161,89.80842224,3641.95250073,10.71
"11",139.002778775531,631.752817799842,59.90844861,5,7,6.22000482,89.90842224,3595.09568313,10.71
"12",141.62053409302,631.75801538237,64.17159664,5,7,6.22000482,89.80842224,3850.92646208,10.71
"13",144.227571618065,631.730810989972,58.9479135,5,7,6.18719642,90.17842224,3537.45413658,10.71
"14",146.839249858663,631.714222925838,64.545557,5,7,6.22000482,90.28842224,3873.36775848,10.71
"15",149.476341075383,631.702279530317,56.69265737,5,7,6.28562161,90.33842224,3402.11660434,10.71
"16",152.15939654892,631.657491767448,63.39711106,5,7,6.38404681,90.50842224,3804.44971538,10.71
"17",154.80565881515,631.678282075556,52.91808096,5,7,6.28562161,89.65842224,3175.60492442,10.71
"18",157.418552569105,631.696528934868,61.55387417,5,7,6.22000482,89.41842224,3693.83738728,10.71
"19",159.975869140203,631.692547810885,59.59519219,5,7,6.08877122,89.67842224,3576.29721902,10.71
"20",162.535616584138,631.690446655502,57.53228169,5,7,6.08877122,89.67842224,3452.50231529,10.84
"21",165.108843941771,631.708140590683,57.07195016,5,7,6.12157962,89.69842224,3424.87789928,10.84
"22",167.691462977071,631.711015877407,59.41333764,5,7,6.15438802,89.94842224,3565.38415899,10.84
"23",170.308665496293,631.641899009651,63.34888387,5,7,6.22000482,90.89842224,3801.55561,10.84
