"","Group.1","X","Y","AppliedRate","SWATHWIDTH","DISTANCE","Heading","ControlRate","TargetRate","Elevation","Variety"
"1","2018-05-20T18:50:11.000Z",-97.6013115188995,44.0882302005516,24997.43212116,2.5,2.66307946,167.36132813,25000,24997.43212116,1513.87392379,"4296 VT2P"
"2","2018-05-20T18:50:11.200Z",-97.6013128288828,44.0882280209875,24997.43212116,2.5,0.82580912,166.86132813,25000,24997.43212116,1513.92969807,"4296 VT2P"
"3","2018-05-20T18:50:12.200Z",-97.6013062604993,44.0882139342336,13432.8654180867,2.5,5.45179337,170.62132813,25000,24997.43212116,1513.7919028,"4296 VT2P"
"4","2018-05-20T18:50:13.199Z",-97.6013003121982,44.0881999620123,20784.6545854467,2.5,5.35336817,174.29132813,25000,24997.43212116,1513.62129912,"4296 VT2P"
"5","2018-05-20T18:50:14.199Z",-97.6012948641043,44.0881858875733,22395.30344156,2.5,5.25494298,177.96132813,25000,24997.43212116,1513.52615477,"4296 VT2P"
"6","2018-05-20T18:50:15.200Z",-97.6012926902288,44.0881715316463,24722.2458844433,2.5,5.25494298,180.22132813,25000,24997.43212116,1513.32930437,"4296 VT2P"
"7","2018-05-20T18:50:16.200Z",-97.6012915368232,44.0881567556686,25404.8156676867,2.5,5.41898497,181.86132813,25000,24997.43212116,1513.14885818,"4296 VT2P"
"8","2018-05-20T18:50:17.199Z",-97.6012910603621,44.0881420642863,25268.5715014667,2.5,5.38617657,182.99132813,25000,24997.43212116,1513.0110629,"4296 VT2P"
"9","2018-05-20T18:50:18.200Z",-97.6012919422964,44.0881275550512,24993.38526474,2.5,5.32055977,183.59132813,25000,24997.43212116,1512.92576107,"4296 VT2P"
"10","2018-05-20T18:50:19.200Z",-97.6012919677296,44.0881117920595,24554.97581898,2.5,5.77987736,184.89132813,25000,24997.43212116,1512.87326763,"4296 VT2P"
"11","2018-05-20T18:50:20.199Z",-97.6012943134566,44.0880940842818,24165.12865029,2.5,6.50166214,184.58132813,25000,24997.43212116,1512.67969807,"4296 VT2P"
"12","2018-05-20T18:50:21.200Z",-97.6012963990113,44.0880776294197,24232.57625733,2.5,6.04234455,183.68132813,25000,24997.43212116,1512.62720463,"4296 VT2P"
"13","2018-05-20T18:50:22.199Z",-97.6012982123482,44.0880614250389,24351.2840457233,2.5,5.97672775,181.28132813,25000,24997.43212116,1512.56486868,"4296 VT2P"
"14","2018-05-20T18:50:23.199Z",-97.6013038793915,44.0880447741549,24465.94497769,2.5,6.20638655,178.94132813,25000,24997.43212116,1512.50581356,"4296 VT2P"
"15","2018-05-20T18:50:24.200Z",-97.6013012474057,44.0880271558436,24503.7156376333,2.5,6.50166214,179.35132813,25000,24997.43212116,1512.38114164,"4296 VT2P"
"16","2018-05-20T18:50:25.199Z",-97.6013006535304,44.0880096531123,24457.8512648433,2.5,6.43604534,176.33132813,25000,24997.43212116,1512.36801828,"4296 VT2P"
"17","2018-05-20T18:50:26.199Z",-97.6013036454563,44.0879917937545,25319.8316828167,2.5,6.60008733,174.52132813,25666.6521479867,25663.81447872,1512.24006553,"4296 VT2P"
"18","2018-05-20T18:50:27.199Z",-97.6012994957841,44.0879746223447,25137.72314381,2.5,6.43604534,174.72132813,25666.6521479867,25663.81447872,1512.13835949,"4296 VT2P"
"19","2018-05-20T18:50:28.199Z",-97.6012997201223,44.0879540364207,24935.38032269,2.5,7.81399809,174.91132813,25666.6521479867,25663.81447872,1512.13507865,"4296 VT2P"
