"","Group.1","X","Y","AppliedRate","SWATHWIDTH","DISTANCE","Heading","ControlRate","TargetRate","Elevation","Variety"
"70","2018-05-20T13:21:15.200Z",-97.5987308535327,44.0953556632028,27835.6274254067,2.5,7.35690525,93.0086972,27500.12611973,27498.38939021,1523.35222379,"5299 VT2P"
"71","2018-05-20T13:21:16.201Z",-97.5987032852142,44.095354636011,27758.7371533833,2.5,7.32409685,92.0086972,27500.12611973,27498.38939021,1523.46705319,"5299 VT2P"
"72","2018-05-20T13:21:17.200Z",-97.5986750288425,44.095353485124,27781.6693397767,2.5,7.42252205,91.2386972,27500.12611973,27498.38939021,1523.36206631,"5299 VT2P"
"73","2018-05-20T13:21:18.200Z",-97.5986465272668,44.0953528668042,27768.17981837,2.5,7.52094724,91.7686972,27500.12611973,27498.38939021,1523.50970411,"5299 VT2P"
"74","2018-05-20T13:21:19.200Z",-97.5986185974921,44.0953525435193,27722.31544558,2.5,7.35690525,92.4586972,27500.12611973,27498.38939021,1523.38175135,"5299 VT2P"
"75","2018-05-20T13:21:20.200Z",-97.598590352678,44.0953523572134,27553.69642798,2.5,7.42252205,92.7386972,27500.12611973,27498.38939021,1523.38175135,"5299 VT2P"
"76","2018-05-20T13:21:21.201Z",-97.5985628087759,44.0953509407162,27621.14403502,2.5,7.25848005,92.2086972,27500.12611973,27498.38939021,1523.52282747,"5299 VT2P"
"77","2018-05-20T13:21:22.200Z",-97.5985342618066,44.0953503927567,27627.88879572,2.5,7.52094724,92.0986972,27500.12611973,27498.38939021,1523.48673823,"5299 VT2P"
"78","2018-05-20T13:21:23.200Z",-97.5985057097437,44.0953498615706,27672.4042163733,2.5,7.52094724,91.7486972,27500.12611973,27498.38939021,1523.48673823,"5299 VT2P"
"79","2018-05-20T13:21:24.200Z",-97.5984795564599,44.0953479604449,27611.7013700367,2.5,6.93039606,90.9286972,27500.12611973,27498.38939021,1523.49658075,"5299 VT2P"
"80","2018-05-20T13:21:25.201Z",-97.5984485530281,44.0953481999804,27606.3055614733,2.5,8.14430682,91.5186972,27500.12611973,27498.38939021,1523.41784059,"5299 VT2P"
"81","2018-05-20T13:21:26.200Z",-97.5984204937889,44.0953487367425,27650.82098212,2.5,7.35690525,91.9086972,27500.12611973,27498.38939021,1523.34238127,"5299 VT2P"
"82","2018-05-20T13:21:27.200Z",-97.5983945333637,44.0953479798999,27412.0564531933,2.5,6.83197087,91.5486972,25999.95644395,25997.0056575,1523.33581959,"5299 VT2P"
"83","2018-05-20T13:21:28.200Z",-97.5983635820126,44.0953472577185,27350.00465472,2.5,8.14430682,91.6086972,25999.95644395,25997.0056575,1523.30629204,"5299 VT2P"
"84","2018-05-20T13:21:29.200Z",-97.5983349039153,44.0953468761853,26898.10568755,2.5,7.55375564,91.5686972,25999.95644395,25997.0056575,1523.23083272,"5299 VT2P"
"85","2018-05-20T13:21:30.201Z",-97.5983063492435,44.095346497381,26806.37694198,2.5,7.52094724,91.5086972,25999.95644395,25997.0056575,1523.03726316,"5299 VT2P"
"86","2018-05-20T13:21:31.201Z",-97.5982778491373,44.0953459955646,26702.5076271367,2.5,7.48813884,91.5586972,25999.95644395,25997.0056575,1522.85681697,"5299 VT2P"
"87","2018-05-20T13:21:32.201Z",-97.5982491482411,44.0953453423192,26624.26840297,2.5,7.55375564,91.3186972,25999.95644395,25997.0056575,1522.6370007,"5299 VT2P"
"88","2018-05-20T13:21:33.200Z",-97.5982206306063,44.0953441280526,26547.3781309467,2.5,7.52094724,90.8586972,25999.95644395,25997.0056575,1522.57794558,"5299 VT2P"
"89","2018-05-20T13:21:34.200Z",-97.5981918135482,44.0953439065208,26612.1278337,2.5,7.58656404,91.1486972,25999.95644395,25997.0056575,1522.4729587,"5299 VT2P"
"90","2018-05-20T13:21:35.201Z",-97.5981636016859,44.0953440541182,26498.8158538767,2.5,7.42252205,91.7086972,25999.95644395,25997.0056575,1522.33844427,"5299 VT2P"
"91","2018-05-20T13:21:36.200Z",-97.5981353074079,44.0953431483522,26428.6703425533,2.5,7.48813884,91.2086972,25999.95644395,25997.0056575,1522.30563587,"5299 VT2P"
"92","2018-05-20T13:21:37.202Z",-97.5981070151948,44.095342582815,26264.0981813733,2.5,7.45533045,91.0586972,25999.95644395,25997.0056575,1522.27282747,"5299 VT2P"
"93","2018-05-20T13:21:38.200Z",-97.5980786952814,44.095341903183,26138.64563228,2.5,7.45533045,90.9386972,25999.95644395,25997.0056575,1522.17768311,"5299 VT2P"
"94","2018-05-20T13:21:39.200Z",-97.5980518521019,44.0953416556473,26125.1561108733,2.5,7.06162966,91.1186972,25999.95644395,25997.0056575,1522.12190883,"5299 VT2P"
"95","2018-05-20T13:21:40.201Z",-97.5980221513796,44.0953416260981,26162.9267708167,2.5,7.81622283,91.4086972,25999.95644395,25997.0056575,1522.19408731,"5299 VT2P"
"96","2018-05-20T13:21:41.200Z",-97.5979941179775,44.0953410524795,26175.0673400833,2.5,7.38971365,91.1786972,25999.95644395,25997.0056575,1522.23673823,"5299 VT2P"
"97","2018-05-20T13:21:42.200Z",-97.5979673520847,44.095340603463,26146.7393451267,2.5,7.02882126,90.6286972,25999.95644395,25997.0056575,1522.18752563,"5299 VT2P"
"98","2018-05-20T13:21:43.201Z",-97.5979379620705,44.0953400642303,26162.9267708167,2.5,7.71779764,89.3086972,25999.95644395,25997.0056575,1522.19736815,"5299 VT2P"
"99","2018-05-20T13:21:44.200Z",-97.5979095324242,44.0953396416302,25833.7824484567,2.5,7.48813884,89.0486972,25999.95644395,25997.0056575,1521.98411356,"5299 VT2P"
"100","2018-05-20T13:21:45.200Z",-97.5978831201634,44.0953402156893,25883.69367767,2.5,6.96320446,89.2686972,25999.95644395,25997.0056575,1522.03988784,"5299 VT2P"
"101","2018-05-20T13:21:46.201Z",-97.597853201918,44.0953407012658,25970.0266146833,2.5,7.88183963,89.7786972,25999.95644395,25997.0056575,1521.99723692,"5299 VT2P"
"102","2018-05-20T13:21:47.200Z",-97.5978246571855,44.0953411973999,25956.5370932767,2.5,7.48813884,90.5486972,25999.95644395,25997.0056575,1522.05957288,"5299 VT2P"
"103","2018-05-20T13:21:48.201Z",-97.5977986339189,44.0953413528855,25922.8132897533,2.5,6.83197087,90.8386972,25999.95644395,25997.0056575,1522.11206631,"5299 VT2P"
"104","2018-05-20T13:21:49.201Z",-97.597768156016,44.0953413094342,25920.1153854733,2.5,8.01307323,90.7686972,25999.95644395,25997.0056575,1521.95786684,"5299 VT2P"
