"","Timestamp","LonM","LatM","AppliedRate","ControlRate"
"1","2018-05-20T18:50:11.000Z",974.697152455311,608.031341105172,24997.43212116,25000
"2","2018-05-20T18:50:11.200Z",974.552344847779,607.790311620349,24997.43212116,25000
"4","2018-05-20T18:50:13.199Z",975.935958718024,604.687379185684,20784.6545854467,25000
"5","2018-05-20T18:50:14.199Z",976.538199531969,603.130941970336,22395.30344156,25000
"6","2018-05-20T18:50:15.200Z",976.778503134328,601.543376089132,24722.2458844433,25000
"7","2018-05-20T18:50:16.200Z",976.90600239215,599.909358448908,25404.8156676867,25000
"8","2018-05-20T18:50:17.199Z",976.958671138346,598.284695886487,25268.5715014667,25000
"9","2018-05-20T18:50:18.200Z",976.861180749323,596.680176266173,24993.38526474,25000
"10","2018-05-20T18:50:19.200Z",976.858369316343,594.937008602822,24554.97581898,25000
"11","2018-05-20T18:50:20.199Z",976.599068992034,592.978774657531,24165.12865029,25000
"12","2018-05-20T18:50:21.200Z",976.368528518676,591.159095740765,24232.57625733,25000
"13","2018-05-20T18:50:22.199Z",976.16807942512,589.367116582472,24351.2840457233,25000
"14","2018-05-20T18:50:23.199Z",975.541635607605,587.52576038529,24465.94497769,25000
"15","2018-05-20T18:50:24.200Z",975.832579428092,585.577420174563,24503.7156376333,25000
"16","2018-05-20T18:50:25.199Z",975.898227326865,583.641861507661,24457.8512648433,25000
"17","2018-05-20T18:50:26.199Z",975.567495165037,581.666864909445,25319.8316828167,25666.6521479867
"18","2018-05-20T18:50:27.199Z",976.026206417776,579.767945793679,25137.72314381,25666.6521479867
"19","2018-05-20T18:50:28.199Z",976.001407718549,577.4914288901,24935.38032269,25666.6521479867
"20","2018-05-20T18:50:29.198Z",976.773199066372,575.202136478914,24026.18657979,25999.97822198
"21","2018-05-20T18:50:30.200Z",977.099462080469,572.883230397877,24680.4283680767,25999.97822198
"22","2018-05-20T18:50:31.200Z",977.143030151438,570.519637157238,25369.7429120267,25999.97822198
"23","2018-05-20T18:50:32.199Z",976.938879574289,568.196935775326,25538.3619296267,26500.0347805733
"24","2018-05-20T18:50:33.199Z",977.226548484814,566.113327326713,26456.9983375133,26500.0347805733
"25","2018-05-20T18:50:34.199Z",977.345736777418,563.653090547834,26533.8886095367,26500.0347805733
"26","2018-05-20T18:50:35.199Z",977.283851416453,561.337110187479,26520.3990881267,26500.0347805733
"27","2018-05-20T18:50:36.199Z",977.300942845092,559.024758802731,26466.4410024933,26500.0347805733
"28","2018-05-20T18:50:37.199Z",977.232070556183,556.677079223344,26625.61735511,26500.0347805733
"29","2018-05-20T18:50:38.199Z",977.265017176376,554.408619549096,26612.1278337033,26500.0347805733
"30","2018-05-20T18:50:39.199Z",977.264058969555,552.091271251134,26612.1278337033,26500.0347805733
"31","2018-05-20T18:50:40.200Z",977.342600085363,549.774762041107,26609.42992942,26500.0347805733
"32","2018-05-20T18:50:41.199Z",977.238391828879,547.443170140061,26617.5236422667,26500.0347805733
"33","2018-05-20T18:50:42.200Z",977.352828336067,545.126227005846,26558.1697480667,26500.0347805733
"34","2018-05-20T18:50:43.199Z",977.395982174317,542.716780809057,26417.8787254267,25999.97822198
"35","2018-05-20T18:50:44.198Z",977.459606176006,540.348917101878,26200.69743076,25999.97822198
"36","2018-05-20T18:50:45.199Z",977.452484558376,538.01504178199,26287.0303677667,25999.97822198
"37","2018-05-20T18:50:46.199Z",977.426947064829,535.63938260462,26179.1141965067,25999.97822198
"38","2018-05-20T18:50:47.199Z",977.395796967947,533.231503900559,26126.5050630167,25999.97822198
"39","2018-05-20T18:50:48.199Z",977.521293405318,530.857082416907,26125.1561108767,25999.97822198
"40","2018-05-20T18:50:49.200Z",977.530090221705,528.556141775063,26030.7294610167,25999.97822198
"41","2018-05-20T18:50:50.199Z",977.516012916422,526.112564553279,25844.57406559,25666.6521479867
"42","2018-05-20T18:50:51.199Z",977.540105627799,523.72545680802,26022.63574817,25666.6521479867
"43","2018-05-20T18:50:52.199Z",977.502979593272,521.351715177746,26137.29668014,25666.6521479867
"44","2018-05-20T18:50:53.199Z",977.598240520106,518.971602357128,26057.70850383,25666.6521479867
"45","2018-05-20T18:50:54.199Z",977.665207877009,516.603106354782,26022.6357481733,25666.6521479867
"46","2018-05-20T18:50:55.199Z",977.617632423021,514.217901077858,25933.60490688,25666.6521479867
"47","2018-05-20T18:50:56.200Z",977.609502771507,511.798151624925,25955.18814113,25666.6521479867
"48","2018-05-20T18:50:57.199Z",977.597758621297,509.507590304862,25936.3028111633,25666.6521479867
"49","2018-05-20T18:50:58.200Z",977.66261306663,506.999192626591,25887.7405340933,25666.6521479867
"50","2018-05-20T18:50:59.199Z",977.762974635866,504.625899049282,25898.5321512233,25666.6521479867
"51","2018-05-20T18:51:00.200Z",977.75725693213,502.219965214029,25862.1104434167,25666.6521479867
"52","2018-05-20T18:51:01.200Z",977.788349787348,499.812672356418,25767.6837935633,25666.6521479867
"53","2018-05-20T18:51:02.199Z",977.758582075311,497.387647827576,25767.6837935633,25666.6521479867
"54","2018-05-20T18:51:03.200Z",977.856055767343,495.028678206887,25662.46552658,25666.6521479867
"55","2018-05-20T18:51:04.199Z",977.956990736595,492.650068116538,25669.21028728,25666.6521479867
"56","2018-05-20T18:51:05.199Z",977.920200401279,490.238289574684,25744.7516071667,25666.6521479867
"57","2018-05-20T18:51:06.199Z",977.92264821719,487.79719890365,25708.3298993667,25999.97822198
"58","2018-05-20T18:51:07.199Z",978.011792916469,485.406381347575,25623.3459144967,25999.97822198
