"","Timestamp","LonM","LatM","AppliedRate","ControlRate"
"3","2018-05-18T22:24:15.400Z",64.2365483138927,6.70522033326599,21247.34516974,24500
"4","2018-05-18T22:24:16.400Z",66.0926894225453,6.77254426507249,23497.3973405967,24500
"5","2018-05-18T22:24:17.400Z",67.9610436793554,6.99644686334709,23802.2605244167,24500
"6","2018-05-18T22:24:18.400Z",69.7342097833891,7.07670980336716,24788.34453934,24500
"7","2018-05-18T22:24:19.400Z",71.5606591463596,7.18075612853257,24808.5788214533,24500
"8","2018-05-18T22:24:20.400Z",73.3562429551472,7.21545298796914,24507.76249405,24500
"9","2018-05-18T22:24:21.400Z",75.1772988578909,8.09282894041137,24603.5380960533,23999.9434414067
"10","2018-05-18T22:24:22.400Z",76.9047080407875,8.86555153339052,23970.8795420167,23999.9434414067
"11","2018-05-18T22:24:23.400Z",78.7045129473263,9.00887524020896,23956.0410684667,23999.9434414067
"12","2018-05-18T22:24:24.400Z",80.5594433691337,8.79049163302387,24244.7168265967,23999.9434414067
"13","2018-05-18T22:24:25.400Z",82.5515801497758,8.75933724262249,23908.82774354,23999.9434414067
"14","2018-05-18T22:24:26.400Z",84.5129312526525,8.63283574584111,23732.1150130933,23999.9434414067
"15","2018-05-18T22:24:27.400Z",86.6509212754604,8.10748860363024,23864.31232289,23999.9434414067
"16","2018-05-18T22:24:28.400Z",89.1614472137966,7.67138547795166,23296.4034716133,23999.9434414067
"17","2018-05-18T22:24:29.400Z",91.552432958468,7.33355093074839,23173.6488268033,23999.9434414067
"18","2018-05-18T22:24:30.400Z",93.9570430447314,7.43021151480152,23319.33565801,23999.9434414067
"19","2018-05-18T22:24:31.400Z",96.3399179077298,7.52949715966942,23460.9756327967,24666.59558939
"20","2018-05-18T22:24:32.400Z",98.7372802387268,7.5507002015442,23798.2136679933,24666.59558939
"21","2018-05-18T22:24:33.400Z",101.123038478858,7.47236150283817,24055.8635268867,24666.59558939
"22","2018-05-18T22:24:34.400Z",103.470842862819,7.36297793431061,24258.2063480067,24666.59558939
"23","2018-05-18T22:24:35.400Z",105.848951321346,7.32493449772512,24263.60215657,24666.59558939
"24","2018-05-18T22:24:36.400Z",108.239682813405,7.4463831233883,24478.0855469567,26000.03478057
"25","2018-05-18T22:24:37.400Z",110.635228695383,7.43222704330299,24828.8131035667,26000.03478057
"26","2018-05-18T22:24:38.400Z",113.087584575393,7.47245321592195,25214.6134158333,26000.03478057
"27","2018-05-18T22:24:39.400Z",115.498962422858,7.31067581355367,25329.2743478,26000.03478057
"28","2018-05-18T22:24:40.400Z",117.918388394195,7.17194637864573,26068.5001209567,25833.3042959667
"29","2018-05-18T22:24:41.400Z",120.536081691074,7.10212434478069,25876.9489169667,26000.03478057
"30","2018-05-18T22:24:42.400Z",123.356857366831,7.07945275417492,25167.4000909067,26000.03478057
"31","2018-05-18T22:24:43.401Z",126.482677197963,7.01962297060092,24805.88091717,26000.03478057
"32","2018-05-18T22:24:44.400Z",129.57363612959,7.01037196931729,24552.2779147033,26000.03478057
"33","2018-05-18T22:24:45.400Z",132.660647615086,6.89756334241771,24878.7243327767,26000.03478057
"34","2018-05-18T22:24:46.400Z",135.713738031117,6.85222081890955,25105.34829243,26000.03478057
"35","2018-05-18T22:24:47.400Z",138.813104005095,6.8315784648526,25252.3840757767,26000.03478057
"36","2018-05-18T22:24:48.400Z",141.903189750875,6.8184565223739,25354.90443848,26000.03478057
"37","2018-05-18T22:24:49.400Z",144.973473234076,6.76146307798848,25458.7737533167,26000.03478057
"38","2018-05-18T22:24:50.400Z",148.042600300286,6.6640663627561,25541.0598339067,26000.03478057
"39","2018-05-18T22:24:51.400Z",151.132484745888,6.62982116088835,25570.7367810067,26000.03478057
"40","2018-05-18T22:24:52.400Z",154.21554058745,6.6409570426491,25724.5173250567,26000.03478057
"41","2018-05-18T22:24:53.400Z",157.33942727283,6.53869373172831,25879.64682125,26000.03478057
"42","2018-05-18T22:24:54.401Z",160.452624892248,6.62337990463139,26108.9686851833,26000.03478057
"43","2018-05-18T22:24:55.400Z",163.53461527211,6.61921685826637,26072.5469773833,26000.03478057
"44","2018-05-18T22:24:56.400Z",166.617062348095,6.59300633309356,26077.9427859433,26000.03478057
"45","2018-05-18T22:24:57.400Z",169.702068524601,6.5061126726647,26055.01059955,26000.03478057
"46","2018-05-18T22:24:58.400Z",172.791022824769,6.44624330116147,26088.7344030733,26000.03478057
"47","2018-05-18T22:24:59.400Z",175.880974592092,6.40676202045664,26064.4532645367,26000.03478057
"48","2018-05-18T22:25:00.400Z",178.862753797012,6.4533285236866,26049.61479099,26000.03478057
"49","2018-05-18T22:25:01.400Z",181.646793721772,6.39931993687311,26297.8219848933,26000.03478057
"50","2018-05-18T22:25:02.400Z",184.558620420815,6.31729280612659,26378.7591133467,26000.03478057
"51","2018-05-18T22:25:03.400Z",187.50091030737,6.31987522151643,26400.3423475933,26000.03478057
"52","2018-05-18T22:25:04.400Z",190.456949596298,6.20374803547517,26320.7541712867,26000.03478057
"53","2018-05-18T22:25:05.400Z",193.357940489202,6.06052923274027,26334.2436927,26000.03478057
"54","2018-05-18T22:25:06.400Z",196.277423484804,6.13068581839616,26380.1080654833,26000.03478057
"55","2018-05-18T22:25:07.400Z",199.164541432726,6.11247710832242,26376.0612090667,26000.03478057
"56","2018-05-18T22:25:08.400Z",202.070852885491,6.10035110872075,26373.36330478,26000.03478057
"57","2018-05-18T22:25:09.400Z",205.048119508823,6.05397369953713,26431.3682468333,26000.03478057
