"","Timestamp","LonM","LatM","AppliedRate","ControlRate"
"2","2018-05-06T23:39:25.601Z",2006.01768488442,13.5982559800233,20223.4904948733,25500
"3","2018-05-06T23:39:26.600Z",2007.44335782922,13.1474689386035,24974.49993477,25500
"4","2018-05-06T23:39:27.602Z",2009.50232076897,12.7202218352237,20450.11445453,25500
"5","2018-05-06T23:39:28.600Z",2011.68806710577,12.4118199006242,21700.59308905,25500
"6","2018-05-06T23:39:29.601Z",2013.79616544361,12.0974215170774,24786.9955872,25500
"7","2018-05-06T23:39:30.600Z",2015.88855549126,11.8008136035004,25839.1782570233,25666.7304846033
"8","2018-05-06T23:39:31.601Z",2017.99439266849,11.4732416706074,26123.8071587367,25833.4609692067
"9","2018-05-06T23:39:32.600Z",2020.35239283594,11.1718708319837,26668.7838236133,25833.4609692067
"10","2018-05-06T23:39:33.601Z",2022.91578731605,10.8205995650709,24451.1065041367,25833.4609692067
"11","2018-05-06T23:39:34.600Z",2025.63897925903,10.4752856669228,24536.0904890133,26000.19145381
"12","2018-05-06T23:39:35.600Z",2028.34813486275,10.2561803482596,25304.9932092667,26000.19145381
"13","2018-05-06T23:39:36.601Z",2030.90667724698,10.0805198091323,25653.0228615933,26000.19145381
"14","2018-05-06T23:39:37.600Z",2033.94474702666,9.90777896247492,25522.1745039367,26000.19145381
"15","2018-05-06T23:39:38.601Z",2036.77800557843,9.79114879910703,25582.87735027,26000.19145381
"16","2018-05-06T23:39:39.601Z",2039.59063027501,9.71320783735603,25680.0019044133,26000.19145381
"17","2018-05-06T23:39:40.600Z",2042.53649268594,9.59438467695941,25809.5013099233,26000.19145381
"18","2018-05-06T23:39:41.600Z",2045.4304928249,9.55891761396465,25752.84532001,26000.19145381
"19","2018-05-06T23:39:42.600Z",2048.34726031799,9.51737612865531,25790.6159799567,26000.19145381
"20","2018-05-06T23:39:43.600Z",2051.29182837275,9.43736157032646,25810.85026207,26000.19145381
"21","2018-05-06T23:39:44.600Z",2054.20884012491,9.34720307054107,25878.2978691067,26000.19145381
"22","2018-05-06T23:39:45.602Z",2057.13083891044,9.29476839309964,25914.7195769067,26000.19145381
"23","2018-05-06T23:39:46.600Z",2060.1181514551,9.21474445816694,25883.69367767,26000.19145381
"24","2018-05-06T23:39:47.601Z",2063.11738228087,9.14413799081836,26038.8231738633,26000.19145381
"25","2018-05-06T23:39:48.600Z",2065.93158661627,9.0680018854532,26108.9686851867,26000.19145381
"26","2018-05-06T23:39:49.601Z",2069.08766229178,9.00312333035743,26086.03649879,26000.19145381
"27","2018-05-06T23:39:50.600Z",2072.12860496128,8.97163019055909,26072.5469773867,26000.19145381
"28","2018-05-06T23:39:51.601Z",2075.12987349283,8.9050627507116,26114.36449375,26000.19145381
"29","2018-05-06T23:39:52.600Z",2078.13646694537,8.87443336159743,26073.8959295267,26000.19145381
"30","2018-05-06T23:39:53.601Z",2081.11786204073,8.85543500371105,26784.7937077233,25666.7304846033
"31","2018-05-06T23:39:54.600Z",2084.12107872963,8.84171398531274,26227.6764735733,25666.7304846033
"32","2018-05-06T23:39:55.601Z",2087.10983179618,8.79854903383835,26034.77631744,25666.7304846033
"33","2018-05-06T23:39:56.600Z",2090.07230975362,8.75790710222008,26102.2239244833,25500
"34","2018-05-06T23:39:57.601Z",2093.07331269686,8.73735844302122,25555.8983074567,25500
"35","2018-05-06T23:39:58.600Z",2096.04645416501,8.70650645267163,25554.5493553167,25500
"36","2018-05-06T23:39:59.600Z",2099.00834047857,8.62651108204536,25721.8194207733,25500
